dolnośląskie,13,120,40,0,22,2361,2556
kujawsko-pomorskie,152,403,195,3,0,2821,3574
lubelskie,510,93,111,1,0,3344,4059
lubuskie,41,136,73,1,1,1052,1304
mazowieckie,172,120,375,40,0,7831,8538
małopolskie,14,70,38,3,15,1833,1973
opolskie,33,93,34,2,0,1004,1166
podkarpackie,5,91,36,4,1,1537,1674
podlaskie,263,66,158,5,1,3280,3773
pomorskie,171,844,146,2,0,1743,2906
warmińsko-mazurskie,115,1155,202,19,0,2413,3904
wielkopolskie,113,602,366,41,0,4366,5488
zachodniopomorskie,161,1006,120,2,0,1736,3025
łódzkie,243,191,134,6,0,4470,5044
śląskie,41,40,122,0,7,1095,1305
świętokrzyskie,102,39,103,1,0,2271,2516
