Zmienna;Średnia;Mediana;Dominanta;Wariancja;Odchylenie standardowe;Skośność;Kurtoza
liczba_adresow;44.27231510342873;23.0;1.0;4762.263975392745;69.00915863414613;5.187941301221137;41.07854194349432
liczba_mieszkancow;159.39416265230943;91.0;0.0;54580.66743757104;233.6250573837726;4.953949596220019;39.028128721394765
powierzchnia;6834642.961867385;5048950.34;1215.94;55280208962974.46;7435066.170719294;3.9984954234173427;30.76665918544586
zageszczenie_ludnosci;0.005521824033998112;0.0020707687730364;0.0;0.0015480895377222585;0.03934576899391164;49.74432348449597;2755.8865915156534
liczba_budynkow;111.11419665627656;68.0;4.0;18053.386331844533;134.36289045657114;3.310218183682415;18.72516506960087
powierzchnia_budynkow;16578.767469538114;10335.04;1515.66;442194812.00706583;21028.428662338654;4.040046086815732;27.902523529016353
gestosc_zabudowy;0.4612066311906065;0.2348223843334907;0.0008451615840232;0.9742197093317319;0.9870256882836089;7.991507709805182;90.24737454566463
srednia_liczba_kondygnacji;1.2813629852641355;1.2741935483870968;1.0;0.03299041343816177;0.18163263318622502;0.6720569603422131;0.8455357075502503
nna_index;0.24706221962507388;0.2142747167822396;0.0;0.02547730086792466;0.15961610466342255;3.0816456127235483;15.505501533609259
srednia_odleglosci;641.2037748909889;566.0157664931764;0.0;222661.663197746;471.87038813401506;0.8110202804623229;0.4678931533802646
odchylenie_standardowe;476.5955906876416;443.2010822779136;0.0;125191.9139141162;353.8246937596586;1.142171301280518;2.945873992800057
wspolczynnik_zmiennosci;75.47155801883856;71.21637748472995;100.0;316.2649627681031;17.783839933155694;1.1834604825490564;3.829698605309452
min_odleglosc;8.283429923671186;6.3789888006507;0.0;46.98924681822488;6.85487029915409;6.1401865173054055;65.1188481712568
max_odleglosc;2121.3526346874;1866.882241457334;0.0;2704224.805252894;1644.452737311989;0.9927155378278929;1.7343653909785512
min_max_rozstep;2121.3526346874;1866.882241457334;0.0;2704224.805252894;1644.452737311989;0.9927155378278929;1.7343653909785512
powierzchnia_terenow_uprawnych;29810116.744465854;21057765.32;0.0;865952313820393.1;29427067.70679663;1.8915690972495998;5.3222005841083195
powierzchnia_terenow_zalesionych;12684488.325905357;4628153.67;0.0;526546990118699.7;22946611.735040527;3.708203320393396;18.22054121778338
stosunek_powierzchni_upraw;18.43666450917265;3.868071766064008;0.0;123810.97118222741;351.86783197988905;53.67229045650073;3030.0011585211405
stosunek_powierzchni_lasow;22.507827698619273;0.8708317643621615;0.0;68079.02977131838;260.9195848749541;19.296461519869407;422.03956847462854
budynekGospodarstwaRolnego;54.88098611504675;35.0;2.0;3609.1184847415875;60.0759393163485;2.49880301095088;10.142356921788386
budynekZabytkowy;0.0056673278549164065;0.0;0.0;0.007904380227579838;0.088906581463803;17.557888898423116;337.38159596759675
budynkiBiurowe;0.5780674412014735;0.0;0.0;2.428781865064908;1.5584549608714742;6.088805070823494;60.39020117960963
budynkiGarazy;0.5860017001983565;0.0;0.0;4.341311928568538;2.083581514740553;6.323570218191574;54.4342727610145
budynkiHandlowoUslugowe;0.7189005383961462;0.0;0.0;5.203273620773519;2.281068526102081;11.173381500228041;198.29964147652996
budynkiHoteli;0.3618588835364126;0.0;0.0;1.6045652510555557;1.2667143525892315;6.389139775197426;58.717381845482464
budynkiKultuReligijnego;0.20884103145366958;0.0;0.0;0.2548424489281875;0.5048192240081468;2.876880583407271;10.55274756117887
budynkiKulturyFizycznej;0.02351941059790309;0.0;0.0;0.03431062611121713;0.18523127735676048;10.545365870877202;145.44611199426822
budynkiLacznosciDworcowITerminali;0.04817228676678946;0.0;0.0;0.13316630137461613;0.36491958206516695;13.7890910271834;290.6111897877829
budynkiMieszkalneJednorodzinne;48.18362142249929;24.0;1.0;5472.404482233056;73.97570197188436;4.326044337652631;29.258881217302566
budynkiMuzeowIBibliotek;0.028053272881836216;0.0;0.0;0.038044990358474556;0.19505125059449005;9.077799222308249;110.16219928594383
budynkiODwochMieszkaniach;0.6579767639557949;0.0;0.0;4.561274930298936;2.1357141499505348;7.212957083934458;84.44954755765903
budynkiOTrzechIWiecejMieszkaniach;1.8696514593369227;0.0;0.0;17.26758494084325;4.155428370317945;4.472983875648103;30.585433600528013
budynkiPrzemyslowe;0.9937659393595919;0.0;0.0;10.560051828420042;3.2496233363914717;6.4264717801162075;57.40190018984057
budynkiSzkolIInstytucjiBadawczych;0.2340606404080476;0.0;0.0;0.6186694759135354;0.7865554499929013;4.8505118888753795;31.709526164149928
budynkiSzpitaliIZakladowOpiekiMedycznej;0.04845565315953528;0.0;0.0;0.09090535241205198;0.3015051449180461;8.729302275101984;96.39079912631298
budynkiZakwaterowaniaTurystycznegoPozostale;0.3442901671861717;0.0;0.0;18.866408006482096;4.343547859352087;34.46469647404604;1397.3943666212788
budynkiZbiorowegoZamieszkania;0.13346557098328138;0.0;0.0;0.5521932301776855;0.7430970530002696;20.846714171252557;695.5215924719298
ogolnodostepneObiektyKulturalne;0.2060073675262114;0.0;0.0;0.23220879926543206;0.4818804823453966;3.0802958641217124;15.698944924540179
pozostaleBudynkiNiemieszkalne;0.2672145083593086;0.0;0.0;0.6040296821477245;0.7771934650701359;11.055313023494769;267.1735054129984
zbiornikSilosIBudynkiMagazynowe;0.7228676678945877;0.0;0.0;7.533153225397081;2.744659036273373;12.305489421820491;265.22953104296766
