cecha;waznosc
liczba_adresow;0.019
liczba_mieszkancow;0.082
powierzchnia;0.023
zageszczenie_ludnosci;0.027
liczba_budynkow;0.008
powierzchnia_budynkow;0.029
gestosc_zabudowy;0.015
srednia_liczba_kondygnacji;0.047
nna_index;0.02
srednia_odleglosci;0.015
odchylenie_standardowe;0.015
wspolczynnik_zmiennosci;0.011
min_odleglosc;0.016
max_odleglosc;0.003
min_max_rozstep;0.006
powierzchnia_terenow_uprawnych;0.232
powierzchnia_terenow_zalesionych;0.004
stosunek_powierzchni_upraw;0.024
stosunek_powierzchni_lasow;0.029
budynekGospodarstwaRolnego;0.243
budynekZabytkowy;0.0
budynkiBiurowe;0.004
budynkiGarazy;0.006
budynkiHandlowoUslugowe;0.002
budynkiHoteli;0.001
budynkiKultuReligijnego;0.0
budynkiKulturyFizycznej;0.0
budynkiLacznosciDworcowITerminali;0.002
budynkiMieszkalneJednorodzinne;0.011
budynkiMuzeowIBibliotek;0.005
budynkiODwochMieszkaniach;0.002
budynkiOTrzechIWiecejMieszkaniach;0.074
budynkiPrzemyslowe;0.009
budynkiSzkolIInstytucjiBadawczych;0.0
budynkiSzpitaliIZakladowOpiekiMedycznej;0.001
budynkiZakwaterowaniaTurystycznegoPozostale;0.007
budynkiZbiorowegoZamieszkania;0.001
ogolnodostepneObiektyKulturalne;0.0
pozostaleBudynkiNiemieszkalne;0.002
zbiornikSilosIBudynkiMagazynowe;0.006
